"n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica"
3,107.06,3363,NA,1,2,"Krzyki"
3,58.38,5259,NA,0,0,"Krzyki"
3,65.17,5431,NA,1,2,"Krzyki"
3,58.38,5481,NA,0,0,"Krzyki"
3,64.9,7473,1996,3,6,"Śródmieście"
3,64,5063,2008,3,3,"Krzyki"
3,41,8512,1968,1,4,"Stare Miasto"
2,64,7172,2004,3,4,"Śródmieście"
4,105,4943,2000,6,8,"Krzyki"
2,52,6904,2000,1,8,"Krzyki"
3,73,4370,NA,4,4,"Fabryczna"
3,42.9,6423,NA,0,0,"Krzyki"
2,53.06,5234,NA,2,4,"Fabryczna"
3,65.4,7416,1997,3,5,"Śródmieście"
4,66.6,5706,1991,5,5,"Krzyki"
2,62.3,5570,1906,0,0,"Śródmieście"
3,65.7,5199,NA,3,2,"Fabryczna"
2,40.48,7411,1930,0,0,"Fabryczna"
4,53,5642,NA,3,10,"Fabryczna"
4,74.19,5661,NA,3,5,"Śródmieście"
3,85.56,5493,NA,3,4,"Śródmieście"
2,63.25,5360,NA,0,0,"Śródmieście"
2,38.38,9380,2012,0,0,"Krzyki"
2,61.95,5634,NA,4,5,"Śródmieście"
2,52.1,6142,1990,1,5,"Śródmieście"
3,85.11,5511,NA,2,5,"Śródmieście"
2,54,10185,2008,4,8,"Stare Miasto"
3,65,5615,1995,3,5,"Śródmieście"
2,48.42,5721,2005,1,3,"Krzyki"
3,52.4,6489,1950,1,5,"Fabryczna"
4,79.1,4235,1985,4,4,"Fabryczna"
4,69.95,4861,2008,1,2,"Psie Pole"
3,49.9,6200,NA,1,4,"Krzyki"
2,46.2,7338,1904,1,4,"Śródmieście"
3,58,5155,1930,4,5,"Krzyki"
2,45.9,5817,2016,0,0,"Fabryczna"
2,44.3,6682,2003,1,3,"Psie Pole"
3,52.6,6625,2017,1,6,"Śródmieście"
2,39.6,6725,2017,0,0,"Śródmieście"
2,54,6019,2009,1,2,"Krzyki"
2,35.5,5450,2018,0,0,"Psie Pole"
2,75,5720,1930,2,4,"Śródmieście"
4,76,5987,2006,2,2,"Krzyki"
2,47.4,5400,2018,0,0,"Psie Pole"
3,77,6000,2000,1,4,"Krzyki"
2,56,5804,1989,3,5,"Krzyki"
3,54,5100,2018,1,5,"Psie Pole"
2,45.5,6813,1936,0,0,"Krzyki"
2,49.6,5754,2017,3,3,"Śródmieście"
2,48.9,6200,2017,0,0,"Śródmieście"
3,48,7271,NA,2,4,"Stare Miasto"
1,24.3,8889,2017,5,7,"Stare Miasto"
3,50,6000,1980,1,10,NA
4,72,4431,1982,4,4,"Psie Pole"
4,51.4,6825,2017,0,0,"Śródmieście"
2,52.71,5483,NA,0,0,"Fabryczna"
2,47.2,6335,1980,0,0,"Stare Miasto"
2,40.5,6667,2011,3,4,"Fabryczna"
3,58.69,5521,1958,0,0,"Krzyki"
1,30.5,5738,1936,0,0,"Krzyki"
2,56.4,5833,1985,8,10,"Krzyki"
1,48.3,17578,2007,4,5,"Stare Miasto"
3,63,5792,1930,3,3,"Śródmieście"
2,33.87,7352,2017,3,4,"Krzyki"
2,57.1,6042,2004,2,10,"Krzyki"
2,32.7,6422,1980,6,10,"Fabryczna"
2,38.45,10401,2017,6,6,"Stare Miasto"
4,87.99,5330,1930,3,4,"Śródmieście"
2,47.71,6581,2017,2,4,"Krzyki"
4,136.95,6418,1903,0,0,"Stare Miasto"
4,71.5,4894,1991,7,10,"Krzyki"
5,103,5524,2015,1,1,"Krzyki"
2,51.39,7328,2017,1,4,"Krzyki"
1,40.65,6394,1890,1,4,"Śródmieście"
2,42.21,7084,2017,4,4,"Krzyki"
2,47.21,6333,2017,0,0,"Krzyki"
3,65.18,5201,NA,1,3,"Psie Pole"
4,103.69,5777,1877,3,4,"Stare Miasto"
3,48.45,7822,1961,4,5,"Stare Miasto"
3,49.79,6427,2017,2,4,"Krzyki"
3,51.09,5790,2017,0,0,"Krzyki"
2,52,7846,2010,5,5,"Fabryczna"
3,61.2,5866,2004,3,4,"Fabryczna"
2,57,4649,2001,2,3,"Fabryczna"
2,29.15,7547,1980,1,4,"Psie Pole"
2,47.09,6795,2017,4,6,"Stare Miasto"
3,65.73,4853,1930,4,4,"Krzyki"
3,105.75,5768,1930,1,4,"Śródmieście"
2,35,5686,1980,4,4,"Fabryczna"
3,66,4394,1991,11,11,"Fabryczna"
3,52,6904,1974,1,4,"Krzyki"
3,54.68,6748,2017,5,6,"Stare Miasto"
3,63.52,5900,2016,1,4,"Fabryczna"
2,64,4922,2001,1,2,"Psie Pole"
4,108,6296,2013,3,3,"Krzyki"
3,62.6,5415,1981,4,10,"Psie Pole"
2,54.53,6290,2009,1,3,"Krzyki"
1,39,11538,1950,3,4,"Stare Miasto"
3,63.72,4692,1950,0,0,"Krzyki"
4,79.57,5894,2017,0,0,"Krzyki"
2,46.53,6533,2018,2,6,"Stare Miasto"
2,47.1,6900,2017,5,6,"Stare Miasto"
5,85,6576,NA,4,NA,"Śródmieście"
4,104,4413,1993,0,0,"Krzyki"
3,61.48,6018,1985,6,10,"Krzyki"
2,47.47,5688,2007,2,2,"Psie Pole"
3,64.2,6200,2017,1,4,NA
3,99,8990,1900,3,5,NA
4,126,5516,1910,2,4,"Krzyki"
2,45,5331,1930,0,0,"Fabryczna"
4,95,4621,1920,4,4,"Śródmieście"
3,60,5687,NA,1,6,"Śródmieście"
2,45.91,6948,2017,4,4,"Krzyki"
2,32.82,7404,2018,0,0,"Stare Miasto"
2,49,11755,2015,1,7,"Stare Miasto"
2,46.68,7498,2015,2,4,"Krzyki"
2,43.63,19459,2007,4,5,"Stare Miasto"
3,65.33,5100,2016,1,3,"Krzyki"
2,53,5943,1962,2,4,"Fabryczna"
4,70,6071,1980,4,7,"Fabryczna"
2,53.35,5979,2007,0,0,"Fabryczna"
2,59.56,5524,1930,4,5,"Śródmieście"
3,85,4588,NA,3,3,"Krzyki"
2,47.36,5250,NA,4,4,"Psie Pole"
3,106.26,4950,NA,2,2,"Fabryczna"
4,75,5320,NA,2,5,"Fabryczna"
3,48,5396,1968,4,4,"Stare Miasto"
3,66,5985,2006,2,3,"Krzyki"
2,42.5,6118,2012,2,3,"Fabryczna"
3,69.04,5765,1930,5,5,"Fabryczna"
2,48.57,7309,2014,2,2,"Fabryczna"
2,43.65,7995,2011,0,0,"Krzyki"
2,46.4,7759,2004,2,3,"Fabryczna"
3,53.9,6494,1975,2,4,"Fabryczna"
2,47.45,6955,2017,4,4,"Krzyki"
3,70.1,4565,1930,4,4,"Krzyki"
2,48.32,5851,NA,6,7,"Psie Pole"
3,67.25,5459,NA,5,7,"Psie Pole"
1,28.76,6625,NA,4,7,"Psie Pole"
3,83.24,3999,NA,3,4,"Krzyki"
3,79.26,4050,NA,3,4,"Krzyki"
2,47,7660,2013,2,3,"Krzyki"
2,58.11,5163,1930,2,3,"Fabryczna"
2,72,4861,1930,4,4,"Krzyki"
3,67,5806,1980,1,10,"Krzyki"
3,76.8,4688,1940,1,4,"Fabryczna"
4,78.5,4994,1970,1,10,"Śródmieście"
3,70,5950,2000,3,4,"Krzyki"
3,64.7,5487,1990,4,4,"Krzyki"
2,45.84,8617,2015,6,7,"Krzyki"
2,55,7255,2001,3,3,"Krzyki"
3,46.41,7326,2016,1,3,"Krzyki"
3,64,4766,2008,1,3,"Brak"
3,86.27,5216,1904,4,5,"Śródmieście"
3,80.34,5477,1911,0,0,NA
3,61.2,6193,2004,3,4,"Fabryczna"
3,61.3,6509,1930,3,3,"Krzyki"
1,57.17,6280,NA,0,0,"Stare Miasto"
2,50.51,6910,NA,3,5,"Śródmieście"
3,77,4792,1920,1,2,"Psie Pole"
4,87.99,5398,1930,3,4,"Śródmieście"
2,60.75,11506,2008,0,0,"Śródmieście"
3,54,8426,2016,5,6,"Krzyki"
1,39.06,9498,2015,3,6,"Krzyki"
3,108,4167,NA,1,5,"Śródmieście"
2,70,7571,NA,2,3,"Stare Miasto"
2,54.7,6563,2012,8,11,"Śródmieście"
5,106.96,5180,2010,2,2,"Krzyki"
2,51.77,7920,2008,1,5,"Stare Miasto"
4,105.64,6197,NA,11,17,"Krzyki"
3,64.1,5892,2010,2,3,"Psie Pole"
2,77.54,5442,1909,4,4,"Stare Miasto"
2,46.4,5366,2003,2,3,"Krzyki"
1,26.5,3774,1945,0,0,"Krzyki"
2,44.49,6181,NA,0,0,"Fabryczna"
3,66,6212,2009,4,6,"Psie Pole"
1,40.65,6396,1890,1,4,"Psie Pole"
3,54,8407,2008,4,8,"Stare Miasto"
4,72,4861,1991,7,10,"Krzyki"
2,43.1,8100,NA,2,7,"Krzyki"
4,125.71,19000,NA,2,2,"Śródmieście"
3,80.68,10900,2015,2,4,"Śródmieście"
4,150.32,11500,2015,0,0,"Śródmieście"
1,34.2,8300,NA,2,7,"Krzyki"
1,27.73,9100,NA,5,7,"Śródmieście"
2,50.04,7850,NA,3,7,"Śródmieście"
1,37.85,8300,NA,2,7,"Śródmieście"
4,74,6419,2009,0,0,"Stare Miasto"
5,130,4308,2014,0,0,"Krzyki"
3,63,6905,1995,1,5,"Psie Pole"
2,34,7853,1970,6,10,"Krzyki"
3,73.1,6826,2011,3,3,"Krzyki"
3,52.81,6249,2013,0,0,"Psie Pole"
4,77.5,5677,NA,2,2,"Psie Pole"
4,94,5585,1994,4,4,"Psie Pole"
2,47.63,6823,2007,3,3,"Krzyki"
3,72.4,5511,2007,3,3,"Fabryczna"
3,59.8,6672,2015,0,0,"Fabryczna"
4,123,4390,1930,5,5,"Śródmieście"
