"n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,31.69,7542,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
2,36.08,7456,NA,0,0,"Stare Miasto"
1,27.25,7670,NA,0,0,"Stare Miasto"
2,44.94,6542,NA,1,6,"Stare Miasto"
2,39.12,6876,NA,0,0,"Stare Miasto"
1,30.89,7737,NA,0,0,"Stare Miasto"
1,28.86,7935,NA,0,0,"Stare Miasto"
1,28.01,7997,NA,0,0,"Stare Miasto"
3,55.29,6312,NA,0,0,"Stare Miasto"
2,36.08,7178,NA,0,0,"Stare Miasto"
2,42.56,6790,NA,2,6,"Stare Miasto"
1,27.25,7670,NA,0,0,"Stare Miasto"
4,89.26,6330,NA,4,6,"Stare Miasto"
2,36.08,7456,NA,0,0,"Stare Miasto"
3,59.19,5760,NA,3,9,"Śródmieście"
2,52.45,5450,NA,1,9,"Śródmieście"
3,62.4,5610,NA,1,9,"Śródmieście"
2,52.45,5550,NA,7,9,"Śródmieście"
3,54.4,5610,NA,2,9,"Śródmieście"
3,54.4,5610,NA,2,9,"Śródmieście"
3,54.4,5760,NA,7,9,"Śródmieście"
2,52.24,5760,NA,7,9,"Śródmieście"
2,52.45,5500,NA,6,9,"Śródmieście"
3,62.33,5491,NA,1,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
3,63.15,5480,NA,4,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,84.84,5485,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
4,78.63,5515,NA,1,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
3,62.33,5491,NA,1,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
3,63.15,5480,NA,5,7,"Fabryczna"
2,40,8000,2012,3,3,"Krzyki"
3,68.7,6097,NA,6,17,"Krzyki"
4,97.78,5517,NA,5,7,"Fabryczna"
4,76.79,5558,NA,3,7,"Fabryczna"
4,76.79,5558,NA,2,7,"Fabryczna"
4,74.93,5502,NA,7,7,"Fabryczna"
2,49.83,5400,NA,0,0,"Fabryczna"
3,67.77,5961,NA,1,6,"Stare Miasto"
3,60.49,6348,NA,3,6,"Stare Miasto"
2,52.45,5450,NA,3,9,"Śródmieście"
2,43.7,5400,NA,3,7,"Fabryczna"
2,47.5,5400,NA,3,7,"Fabryczna"
2,44.19,5400,NA,3,7,"Fabryczna"
3,68.7,6097,NA,5,17,"Krzyki"
3,64,6094,NA,9,17,"Krzyki"
4,104.2,6198,NA,8,17,"Krzyki"
3,62.4,5200,NA,0,0,"Psie Pole"
2,32.81,7284,NA,1,4,"Krzyki"
4,76.31,5400,NA,5,5,"Fabryczna"
2,43.4,5400,NA,3,5,"Fabryczna"
2,44.52,5400,NA,2,5,"Fabryczna"
2,43.41,5400,NA,3,5,"Fabryczna"
2,49.83,5400,NA,7,7,"Fabryczna"
2,37.32,5400,NA,5,5,"Fabryczna"
3,56.73,5400,NA,2,5,"Fabryczna"
2,49.83,5400,NA,6,7,"Fabryczna"
4,76.35,5400,NA,7,7,"Fabryczna"
2,44.52,5400,NA,2,5,"Fabryczna"
2,49.83,5400,NA,3,5,"Fabryczna"
2,44.16,5400,NA,1,7,"Fabryczna"
2,43.7,5400,NA,2,7,"Fabryczna"
3,58.46,5008,NA,1,3,"Fabryczna"
2,47.5,5400,NA,2,5,"Fabryczna"
2,44.19,5400,NA,2,7,"Fabryczna"
3,58.46,5008,NA,1,3,"Fabryczna"
3,58.46,5008,NA,1,3,"Fabryczna"
3,58.46,5008,NA,1,3,"Fabryczna"
2,36.57,6809,NA,0,0,"Krzyki"
2,42.31,6949,NA,3,6,"Stare Miasto"
2,40.1,6459,NA,0,0,"Krzyki"
3,56.71,6242,NA,0,0,"Stare Miasto"
3,55.29,6312,NA,0,0,"Stare Miasto"
2,38.37,5000,NA,1,3,"Fabryczna"
2,42.56,6790,NA,2,6,"Stare Miasto"
3,61.71,5000,NA,2,3,"Fabryczna"
3,45.73,5987,NA,3,3,"Fabryczna"
2,38.24,5000,NA,2,3,"Fabryczna"
2,35.3,5200,NA,3,3,"Fabryczna"
2,29.86,5244,NA,3,3,"Fabryczna"
2,44.94,6542,NA,2,6,"Stare Miasto"
3,63.3,5499,NA,1,5,"Psie Pole"
3,110.1,4719,NA,1,1,"Psie Pole"
4,98.3,4519,NA,1,1,"Psie Pole"
4,85.4,5001,NA,0,0,"Psie Pole"
3,68.7,6097,NA,1,17,"Krzyki"
4,105.5,6197,NA,7,17,"Krzyki"
5,143.6,8000,NA,17,17,"Krzyki"
3,64.26,6097,NA,5,17,"Krzyki"
4,105.5,6197,NA,7,17,"Krzyki"
3,64,6097,NA,10,17,"Krzyki"
2,37.9,5790,NA,0,0,"Krzyki"
3,64.24,6097,NA,3,17,"Krzyki"
3,63.97,6097,NA,8,17,"Krzyki"
3,64.26,6097,NA,6,17,"Krzyki"
4,105.33,6197,NA,3,17,"Krzyki"
4,105.33,6197,NA,3,17,"Krzyki"
4,105.33,6197,NA,3,17,"Krzyki"
3,68.25,6097,NA,8,17,"Krzyki"
3,68.7,6097,NA,6,17,"Krzyki"
3,63.79,6097,NA,9,17,"Krzyki"
4,105.64,6197,NA,10,17,"Krzyki"
3,47.36,5500,NA,3,3,"Krzyki"
4,104.21,6197,NA,10,17,"Krzyki"
4,105.64,6197,NA,10,17,"Krzyki"
4,104.39,6197,NA,5,17,"Krzyki"
4,105.83,6197,NA,13,17,"Krzyki"
4,106,6198,NA,13,17,"Krzyki"
4,105.33,6197,NA,4,17,"Krzyki"
3,63.9,6097,NA,14,17,"Krzyki"
3,55.26,5400,NA,0,0,"Krzyki"
4,104.39,6197,NA,6,17,"Krzyki"
4,104.21,6197,NA,8,17,"Krzyki"
3,82.34,3753,2017,1,1,"Psie Pole"
3,67.61,4866,2017,0,0,"Psie Pole"
2,31.58,7885,NA,3,3,"Stare Miasto"
2,52,5365,2003,1,4,"Fabryczna"
4,75,5720,NA,8,10,"Psie Pole"
3,57.9,4577,1980,0,0,"Fabryczna"
3,62.5,6160,1983,1,4,"Psie Pole"
3,62.7,4769,1984,2,3,NA
4,133,4925,1992,3,3,"Krzyki"
3,80,3863,1920,2,4,"Śródmieście"
2,52.39,5707,1938,1,1,"Fabryczna"
2,47,6489,2016,1,4,"Fabryczna"
3,100,7990,1992,2,4,"Śródmieście"
3,50,6200,2008,2,2,"Fabryczna"
2,45.61,6336,1970,4,4,"Śródmieście"
4,95,4621,1930,4,4,"Śródmieście"
2,42,9881,2012,3,4,"Krzyki"
1,26.5,3581,1945,0,0,NA
4,116,5302,2005,0,0,"Krzyki"
4,1761,1988,1980,1,3,NA
4,111.1,6697,2003,6,6,"Stare Miasto"
2,63,5063,1930,1,2,"Psie Pole"
3,62,6274,2002,2,1,"Krzyki"
3,47,5660,1980,0,0,"Fabryczna"
3,58,6552,1995,6,8,"Krzyki"
3,76,5697,1960,3,3,"Fabryczna"
4,113,6593,1930,0,0,"Stare Miasto"
3,71,6718,2015,0,0,"Krzyki"
2,57,6579,2007,3,3,"Krzyki"
2,37.13,7500,2017,2,6,"Stare Miasto"
2,50,5780,NA,7,7,"Fabryczna"
3,53,5200,NA,NA,NA,"Psie Pole"
3,60.3,5200,NA,0,0,"Psie Pole"
3,54.1,5200,NA,3,3,"Psie Pole"
3,54.1,5200,NA,1,3,"Psie Pole"
3,63.1,5200,NA,0,0,"Psie Pole"
3,54.1,5303,NA,0,0,"Psie Pole"
3,56,5518,1970,0,0,"Stare Miasto"
4,87.8,5011,2011,3,3,"Krzyki"
2,48,5729,1979,3,4,NA
2,34.3,5802,1975,4,4,"Fabryczna"
3,54,5352,NA,3,4,"Psie Pole"
3,65,5538,1992,6,11,"Krzyki"
1,39,6154,2011,4,5,"Fabryczna"
2,49,6918,2000,3,5,"Krzyki"
3,81,5494,2006,3,4,"Fabryczna"
4,104,4798,1910,3,5,"Śródmieście"
2,52.5,5143,2007,0,0,"Fabryczna"
2,NA,NA,NA,NA,NA,"Fabryczna"
2,NA,NA,NA,NA,NA,"Krzyki"
2,NA,NA,NA,NA,NA,"Krzyki"
3,67,5224,NA,1,10,"Fabryczna"
3,57,4825,NA,10,10,"Psie Pole"
2,43.81,8600,NA,7,7,"Śródmieście"
2,50.04,8600,NA,7,7,"Śródmieście"
1,31.21,7690,1930,3,4,"Krzyki"
1,39.59,8600,NA,7,7,"Śródmieście"
1,37.85,8600,NA,7,7,"Śródmieście"
3,64.41,8400,NA,7,7,"Śródmieście"
1,26.93,9300,NA,7,7,"Śródmieście"
3,73.17,7900,NA,7,7,"Śródmieście"
2,50,8400,NA,7,7,"Śródmieście"
2,50.04,8600,NA,7,7,"Śródmieście"
1,43.07,8500,NA,7,7,"Śródmieście"
1,34.2,8650,NA,7,7,"Śródmieście"
3,63.92,8400,NA,7,7,"Śródmieście"
1,27.73,9300,NA,7,7,"Śródmieście"
3,73,7900,NA,6,7,"Śródmieście"
2,43.1,8400,NA,6,7,"Śródmieście"
2,49.26,8300,NA,5,7,"Śródmieście"
1,39.59,8650,NA,6,7,"Śródmieście"
1,37.85,8650,NA,5,7,"Śródmieście"
3,495957,8300,NA,6,7,"Śródmieście"
1,26.92,8800,NA,6,7,"Śródmieście"
3,63,5159,NA,9,11,"Krzyki"
2,32.7,6422,NA,6,10,"Fabryczna"
3,85.68,7600,NA,5,5,"Śródmieście"
2,33,5500,NA,2,3,"Krzyki"
2,35,5500,NA,2,3,"Krzyki"
1,25.5,6078,2017,1,3,"Krzyki"
2,50.04,8100,NA,6,7,"Śródmieście"
2,49.26,7900,NA,6,7,"Śródmieście"
1,43.07,8450,NA,6,7,"Śródmieście"
1,34.2,8600,NA,6,7,"Śródmieście"
3,63.92,8300,NA,6,7,"Śródmieście"
1,27.73,9300,NA,6,7,"Śródmieście"
3,88.23,7600,NA,5,7,"Śródmieście"
1,43.1,8350,NA,5,7,"Śródmieście"
2,49.26,8200,NA,5,7,"Śródmieście"
2,49.26,8200,NA,5,7,"Śródmieście"
1,39.59,8450,NA,5,7,"Śródmieście"
1,37.85,8450,NA,5,7,"Śródmieście"
3,64.41,7500,NA,5,7,"Śródmieście"
1,26.92,9100,NA,5,7,"Śródmieście"
3,85.68,7400,NA,5,7,"Śródmieście"
2,50.04,8000,NA,5,7,"Śródmieście"
1,43.07,8350,NA,5,7,"Śródmieście"
1,34.2,8500,NA,5,7,"Śródmieście"
3,88,5341,2007,0,0,"Krzyki"
3,58.2,5137,NA,0,0,"Psie Pole"
2,31,5645,1940,0,0,"Krzyki"
2,35,5686,1983,4,4,"Fabryczna"
2,35,6571,2006,1,2,"Psie Pole"
4,66,4545,NA,0,0,"Psie Pole"
2,47,6702,2000,2,4,"Krzyki"
2,43.21,5430,NA,2,5,"Fabryczna"
2,43.21,5430,NA,2,5,"Fabryczna"
4,74.93,5502,NA,5,5,"Fabryczna"
4,74.89,5502,NA,5,5,"Fabryczna"
2,41.82,5428,NA,4,5,"Fabryczna"
2,43.18,5434,NA,4,5,"Fabryczna"
2,41.82,5428,NA,4,5,"Fabryczna"
3,64.14,6097,NA,3,17,"Krzyki"
3,63.79,6097,NA,9,17,"Krzyki"
2,43.21,5430,NA,4,5,"Fabryczna"
3,68.79,6978,2017,8,9,"Śródmieście"
2,37.18,5461,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
2,41.82,5486,NA,5,5,"Fabryczna"
2,43.21,5532,NA,1,5,"Fabryczna"
2,41.82,5486,NA,5,5,"Fabryczna"
2,32.82,7282,NA,1,4,"Krzyki"
1,31.16,7028,NA,0,0,"Krzyki"
2,48.52,5990,NA,6,7,"Krzyki"
2,37.18,5461,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
3,51.15,5284,NA,3,3,"Krzyki"
2,43.21,5486,NA,5,5,"Fabryczna"
2,44.22,5434,NA,3,7,"Fabryczna"
2,42.04,5457,NA,1,7,"Fabryczna"
2,42.04,5457,NA,1,7,"Fabryczna"
2,42.04,5457,NA,1,7,"Fabryczna"
2,49.2,5328,NA,1,6,"Fabryczna"
2,37.32,5445,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
2,37.18,5461,NA,5,7,"Fabryczna"
1,35.48,5426,NA,3,3,"Krzyki"
2,35,5686,1980,4,5,"Fabryczna"
2,52,5519,NA,4,10,"Krzyki"
4,73,4795,NA,3,4,"Psie Pole"
3,54,6463,2005,6,8,"Psie Pole"
3,76,5250,2016,1,1,"Krzyki"
3,59,6525,2003,3,3,"Krzyki"
1,34,5591,1935,0,0,"Śródmieście"
2,48,6563,2017,4,4,"Krzyki"
3,72,6115,NA,1,3,"Krzyki"
3,67,6166,NA,1,3,"Krzyki"
3,54,5093,1978,3,10,"Psie Pole"
3,56,6500,2017,2,6,"Stare Miasto"
2,55,6230,NA,0,0,"Krzyki"
3,51,6069,NA,1,3,"Krzyki"
3,57,5700,1978,0,0,"Psie Pole"
2,49,6112,2012,1,4,"Psie Pole"
2,46,6517,2000,1,4,"Krzyki"
2,57,9649,2015,2,3,"Krzyki"
2,37,7838,1963,6,7,"Krzyki"
4,70,8571,2011,1,4,"Stare Miasto"
3,74,5541,2011,1,4,"Fabryczna"
3,66,4530,1989,11,11,"Fabryczna"
4,60,4717,NA,1,3,"Krzyki"
2,60,5980,NA,2,4,"Krzyki"
3,82,5429,NA,2,4,"Krzyki"
2,36,6917,NA,9,10,"Krzyki"
2,38,6842,1975,3,4,"Krzyki"
3,65,5308,NA,1,4,"Psie Pole"
2,47,7211,2004,1,4,"Krzyki"
4,87,4310,1980,2,4,"Fabryczna"
2,59,6137,2006,2,5,"Krzyki"
2,51,5686,2016,2,5,"Krzyki"
2,73,4041,1930,2,2,"Śródmieście"
3,47,6274,1985,10,11,"Krzyki"
2,47,5043,1938,4,4,"Krzyki"
2,64,5406,1914,0,0,"Śródmieście"
3,56,6161,1974,2,5,"Fabryczna"
3,66,5682,1990,3,4,"Krzyki"
3,49,5814,1940,5,5,"Fabryczna"
3,61,5882,2006,1,30,"Psie Pole"
3,63,5558,NA,1,4,"Krzyki"
3,72,6115,NA,1,4,"Krzyki"
3,47,5723,NA,0,0,"Fabryczna"
3,58,6621,1933,3,5,"Śródmieście"
2,57,5732,NA,2,4,"Krzyki"
2,46,9130,2015,6,7,"Krzyki"
2,38,6184,NA,3,4,"Fabryczna"
3,56,5536,1980,1,4,"Fabryczna"
2,49,6102,2008,2,3,"Fabryczna"
3,48,5521,1930,1,2,"Krzyki"
3,65,4846,2012,1,2,"Psie Pole"
3,60,5970,NA,0,0,"Krzyki"
2,53,6157,NA,2,4,"Krzyki"
3,64,5961,NA,1,3,"Krzyki"
3,66,6489,NA,2,3,"Krzyki"
2,39,5500,NA,1,3,"Krzyki"
2,55,6131,NA,2,3,"Krzyki"
3,51,5509,NA,2,3,"Krzyki"
3,71,5141,2004,1,6,"Śródmieście"
2,36,5492,NA,1,3,"Krzyki"
2,55,6545,2009,2,2,"Krzyki"
2,36,5550,NA,1,3,"Krzyki"
3,83,6012,2008,3,3,"Krzyki"
3,57,4561,1983,1,4,"Psie Pole"
1,35,6286,NA,5,11,"Fabryczna"
2,38,6842,1960,4,9,"Fabryczna"
2,47,5936,2001,2,2,"Krzyki"
2,36,5481,NA,2,3,"Krzyki"
2,42,5513,NA,1,3,"Krzyki"
3,58,6362,NA,4,4,"Krzyki"
2,42,6405,2001,2,3,"Krzyki"
3,76,6553,2000,4,7,"Krzyki"
3,94,4787,NA,3,3,"Krzyki"
3,64,5781,1981,3,4,"Fabryczna"
2,62,5306,2011,0,0,"Psie Pole"
2,45,6533,2017,2,6,"Stare Miasto"
3,59,6424,NA,2,6,"Stare Miasto"
3,71,6183,2017,4,6,"Stare Miasto"
2,32,7156,1980,3,11,"Fabryczna"
2,47,6383,2017,0,0,"Krzyki"
4,75,6400,1931,3,4,"Śródmieście"
2,53,5943,2010,2,4,"Fabryczna"
2,44,5659,2012,2,3,"Krzyki"
3,48,6531,1986,11,11,"Fabryczna"
2,50,5092,1985,8,10,"Fabryczna"
2,44,5000,2016,0,0,"Psie Pole"
2,47,5530,2016,1,3,"Krzyki"
3,49,5561,NA,1,3,"Fabryczna"
2,42,6667,1940,2,3,"Krzyki"
3,91,5813,2011,3,3,"Fabryczna"
2,72,4931,1910,1,4,"Śródmieście"
2,52,4788,1980,8,10,"Fabryczna"
2,50,5980,NA,2,4,"Psie Pole"
4,95.91,9373,NA,6,6,"Stare Miasto"
3,61.99,7872,NA,4,6,"Stare Miasto"
3,57.94,8227,NA,6,6,"Stare Miasto"
2,44.73,9014,NA,6,6,"Stare Miasto"
2,47.48,9518,NA,1,6,"Stare Miasto"
2,36.08,9099,NA,4,6,"Stare Miasto"
1,27.56,9862,NA,3,6,"Stare Miasto"
1,26.3,9548,NA,5,6,"Stare Miasto"
1,26.3,9548,NA,0,0,"Stare Miasto"
2,36,5500,NA,2,3,"Krzyki"
2,35,5500,NA,2,3,"Krzyki"
2,34,5500,NA,2,3,"Krzyki"
2,33,5500,NA,2,3,"Krzyki"
2,32,5500,NA,2,3,"Krzyki"
2,39.16,5746,2017,1,3,"Krzyki"
1,27.3,6410,2016,3,3,"Krzyki"
1,26,8000,2016,3,3,"Krzyki"
1,25.5,6078,2017,1,3,"Krzyki"
1,24.5,6327,2016,3,3,"Krzyki"
2,36.1,9000,NA,3,6,"Stare Miasto"
2,38.62,9208,NA,2,6,"Stare Miasto"
2,44.82,9110,NA,4,6,"Stare Miasto"
2,47.34,9218,NA,2,6,"Stare Miasto"
3,62,7871,NA,1,6,"Stare Miasto"
3,58,7960,NA,2,6,"Stare Miasto"
3,68,7191,1920,1,4,"Stare Miasto"
3,71,5915,2001,4,5,"Krzyki"
3,66,6288,2013,2,4,"Krzyki"
3,98,9082,1900,3,4,"Stare Miasto"
2,57,6579,2007,3,3,"Krzyki"
2,53,4453,2004,1,2,"Psie Pole"
2,75,3867,1930,2,4,"Śródmieście"
2,48,5000,1978,4,4,"Psie Pole"
2,56,4732,2016,3,3,"Krzyki"
3,65,5523,1993,3,4,"Śródmieście"
2,42,5190,NA,1,2,"Fabryczna"
2,52,6054,2004,2,3,"Krzyki"
2,56,6425,1993,2,5,"Krzyki"
2,62,3984,2006,2,2,"Krzyki"
2,51,5176,1996,2,4,"Fabryczna"
2,41,6098,2002,4,7,"Psie Pole"
2,58,6017,1930,4,5,"Krzyki"
3,45,6756,NA,4,4,"Fabryczna"
3,54,5463,1974,7,10,"Psie Pole"
1,30,6667,2016,3,3,"Krzyki"
2,60,4917,2015,1,4,"Śródmieście"
3,55,6727,1983,2,11,"Krzyki"
2,52,6154,1990,1,4,"Śródmieście"
2,49,6327,NA,1,4,"Fabryczna"
1,26,10000,1930,4,4,"Stare Miasto"
3,61,5656,1981,1,10,"Krzyki"
3,47,6277,NA,3,10,"Fabryczna"
3,48,6146,1980,3,10,"Fabryczna"
1,29,8103,2016,0,0,"Fabryczna"
2,42,6667,1978,3,4,"Krzyki"
3,55,5816,NA,1,4,"Krzyki"
2,42,6286,2002,4,9,"Psie Pole"
2,50,6980,1989,1,10,"Śródmieście"
2,61,5721,1985,8,10,"Krzyki"
2,72,4167,1905,3,4,"Śródmieście"
2,54,5648,1992,0,0,"Krzyki"
3,50,6400,1980,2,4,"Fabryczna"
1,48,8123,1925,1,5,"Śródmieście"
3,58,5050,2016,2,4,"Fabryczna"
2,50,5186,2016,1,3,"Fabryczna"
2,35,7429,1965,2,4,"Krzyki"
2,52,6423,2009,1,3,"Krzyki"
4,115,3991,NA,0,0,"Krzyki"
2,52,5865,1936,5,5,"Stare Miasto"
3,60,8167,2008,0,0,"Psie Pole"
2,42,5595,1985,2,11,"Krzyki"
2,67,5299,1935,4,4,"Stare Miasto"
1,35,6883,NA,1,6,"Śródmieście"
3,50,5700,1984,6,11,"Krzyki"
3,68,4985,1985,5,10,"Krzyki"
2,54,4537,NA,2,2,"Psie Pole"
3,73,5466,1993,0,0,"Krzyki"
2,39,6244,2017,2,4,"Krzyki"
2,38,5507,2017,2,4,"Krzyki"
2,35,5523,2016,3,3,"Krzyki"
4,80,4725,1985,4,4,"Fabryczna"
2,39,6585,2017,0,0,"Krzyki"
3,63,5475,2016,1,3,"Krzyki"
2,51,6255,2004,2,4,"Krzyki"
4,67,5632,2016,1,3,"Krzyki"
2,48,5473,2016,0,0,"Krzyki"
3,63,5317,2005,2,2,"Krzyki"
3,60,4517,1983,5,10,"Fabryczna"
2,50,5900,2004,2,2,"Krzyki"
3,74,7027,2011,1,3,"Krzyki"
2,51,5368,NA,1,2,"Psie Pole"
2,51,5329,2016,1,2,"Psie Pole"
2,36,7722,NA,2,4,"Stare Miasto"
2,54,5722,NA,7,11,"Krzyki"
2,49,6102,2011,3,3,"Fabryczna"
3,75,5187,NA,3,5,"Psie Pole"
2,46,6848,2005,1,2,"Psie Pole"
2,56,5893,2010,1,3,"Krzyki"
3,70,5700,2006,0,0,"Krzyki"
3,80,5375,NA,4,4,"Krzyki"
4,77,6351,2000,4,5,"Psie Pole"
3,75,7333,2008,1,3,"Krzyki"
4,130,6454,2001,3,3,"Śródmieście"
3,48,6188,1980,1,11,"Fabryczna"
1,34,5588,NA,1,4,"Śródmieście"
4,90,4944,NA,3,4,"Krzyki"
3,63.92,8250,NA,5,7,"Śródmieście"
3,62,5790,NA,3,4,"Fabryczna"
4,117.54,18414,NA,6,6,"Stare Miasto"
3,71.93,15814,NA,6,6,"Stare Miasto"
3,88.23,7400,NA,5,7,"Śródmieście"
1,43.1,8300,NA,4,7,"Śródmieście"
3,110,13182,2010,5,6,"Fabryczna"
2,49.26,8100,NA,3,7,"Śródmieście"
1,39.59,8450,NA,4,7,"Śródmieście"
1,37.85,8450,NA,4,7,"Śródmieście"
3,64.41,8100,NA,4,7,"Śródmieście"
1,26.92,9000,NA,4,7,"Śródmieście"
3,85.68,7400,NA,4,7,"Śródmieście"
2,50.04,8100,NA,3,7,"Śródmieście"
2,49.26,8100,NA,3,7,"Śródmieście"
3,63,5079,1989,9,10,"Krzyki"
2,40,9000,2016,1,6,"Śródmieście"
2,32.84,6851,NA,0,0,"Krzyki"
1,43.07,8250,NA,3,7,"Śródmieście"
1,34.2,8200,NA,4,7,"Śródmieście"
3,63.92,8200,NA,4,7,"Śródmieście"
1,27.73,9100,NA,4,7,"Śródmieście"
3,79,5051,1930,0,0,"Śródmieście"
3,88.23,7400,NA,4,7,"Śródmieście"
2,43.1,8300,NA,3,7,"Śródmieście"
1,39.59,8400,NA,3,7,"Śródmieście"
1,37.85,8400,NA,3,7,"Śródmieście"
3,64.41,8000,NA,3,7,"Śródmieście"
2,40,6000,2010,2,NA,"Fabryczna"
2,45,5533,NA,2,NA,"Psie Pole"
2,49,6429,2007,1,3,"Fabryczna"
3,60,5833,NA,1,NA,"Krzyki"
2,67,8731,NA,1,NA,"Stare Miasto"
1,41,8780,NA,1,NA,"Stare Miasto"
2,42,6167,2001,4,8,"Psie Pole"
2,85,6882,NA,2,5,"Stare Miasto"
3,65,5723,NA,1,1,"Fabryczna"
2,54,8426,NA,3,5,"Krzyki"
3,54,7037,NA,1,10,"Krzyki"
2,48,7813,NA,3,NA,"Śródmieście"
4,66,4697,NA,2,4,"Śródmieście"
2,45.1,6186,NA,1,4,"Krzyki"
2,45.1,6186,NA,1,4,"Krzyki"
2,39,6538,NA,1,4,"Krzyki"
2,39,6538,NA,1,4,"Krzyki"
2,39,6538,NA,1,4,"Krzyki"
2,34.15,7291,NA,2,4,"Krzyki"
2,34.15,7291,NA,2,4,"Krzyki"
2,34.15,7291,NA,2,4,"Krzyki"
2,34.15,7291,NA,2,4,"Krzyki"
2,32.8,7287,NA,2,4,"Krzyki"
2,32.8,7287,NA,2,4,"Krzyki"
2,32.8,7287,NA,2,4,"Krzyki"
4,95,4737,1995,5,7,"Fabryczna"
4,84.1,6100,NA,3,3,"Psie Pole"
3,68.4,6750,NA,3,4,"Krzyki"
4,138,3254,1930,3,3,"Krzyki"
3,62.4,5048,1978,2,10,"Fabryczna"
3,120.78,12432,2016,4,5,"Stare Miasto"
3,93.07,12775,2016,4,6,"Stare Miasto"
4,96,4167,2017,0,0,"Fabryczna"
3,49.8,6300,2017,1,4,"Krzyki"
2,40.36,11900,NA,1,4,"Stare Miasto"
2,40.3,6179,1930,0,0,"Krzyki"
2,51,6255,2006,1,4,"Krzyki"
2,54,5722,1985,6,10,"Fabryczna"
1,25.22,8327,1960,3,4,NA
2,50,6200,NA,2,4,"Stare Miasto"
2,67,3716,NA,4,4,"Krzyki"
3,55,5800,1995,1,5,"Krzyki"
2,44,4432,NA,0,0,"Śródmieście"
2,76,4605,NA,1,4,"Śródmieście"
2,43,7395,NA,4,4,"Śródmieście"
2,47,7000,1996,3,4,"Krzyki"
4,126,5476,1910,2,4,"Krzyki"
4,89.5,7263,1917,3,5,"Śródmieście"
3,70,8571,2013,3,NA,"Śródmieście"
3,86,5802,1906,3,4,"Śródmieście"
2,35.02,5900,2017,0,0,"Krzyki"
2,32.3,6935,2002,2,2,"Fabryczna"
3,81.1,2774,NA,0,0,"Fabryczna"
2,50,6200,NA,2,4,"Stare Miasto"
3,64,5625,1981,3,3,"Fabryczna"
1,26.92,8950,NA,3,7,"Śródmieście"
3,85.68,7300,NA,3,7,"Śródmieście"
2,49.26,8000,NA,3,7,"Śródmieście"
